"type,id,name,shortDescription,description,founded,website,city,country,logo/id,logo/imageServiceUrl,logo/fileName,published,industries/0,industries/1,industries/2,industries/3,industries/4,industries/5,industries/6,industries/7,industries/8,industries/9,industries/10,industries/11,industries/12,industries/13,industries/14,industries/15,industries/16,industries/17,industries/18,industries/19,industries/20,industries/21,industries/22,industries/23,industries/24,industries/25,industries/26,industries/27,industries/28,industries/29,industries/30,industries/31,industries/32,industries/33,industries/34,industries/35"
"startup,4646512986423296,Taival Advisory Oy,Business & tech strategy co-creation services,""Taival is delivering the next generation of business, strategy and technology advisory services. We believe a strong core team combined with a wide and deep ecosystem of partners can deliver leading-edge business and technology services to both corporations and start-up companies."",2017-03-01T00:00:00.000Z,https://taival.com/,Espoo,Finland,5087493250613248,https://lh3.googleusercontent.com/DA3ZiQXlhU96Kjp3sEWu7Esm3xx6zTVMRUggVQ-iMr3wsjhTbbpnpKlHvXg-Voza83yLjnDyxbjUkjlERJNfUGmqU-Sze17jqiQs,taival_advisory.png,true,on-demand_services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,4750661379948544,ProLocalis Oy,Connecting consumers to the best local products,""ProLocalis connects consumers to local producers of food, beverages, and tourism experiences"",2017-10-01T00:00:00.000Z,http://www.prolocalis.com,Helsinki,Finland,,,,true,hospitality_and_travel,nutrition_food_beverages_supplements,health,agribusiness_and_farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,4765556997619712,KYKLOS,Enabling gamers to find the perfect teammates,""Available in France and in the Nordics, KYKLOS is enabling gamers to find the perfect teammates to enter the amateur esport scene. "
"We design a technical and a psychological profile for each user and then automatically push the most relevant profiles to create the best multiplayer experience on the market. Once the team is created, we reward the played time and the performance with a virtual currency which will be spent on our marketplace into discounts on different items. "",2018-11-01T00:00:00.000Z,http://gokyklos.com/,Paris,France,5641676068487168,https://lh3.googleusercontent.com/AI87T0wGqKwMX9UfvKUCC8-meobhVr6BPR0s4qTG3XQx0YhXijQw5Sk0BRkPEbaXABRCeBtHaH2qrDcJ8FdseXih0heYHxhOyyw,logo-tagline-HD.png,true,sports,gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,4787250474778624,Holda Technologies Oy,Analytics,Riskmanagement tool for investors,2017-04-01T00:00:00.000Z,https://holda.io,Espoo,Finland,5203516087861248,https://lh3.googleusercontent.com/wZe2EbdX-p6iGSv59uYnWhCZ_bBL-ttLbCosX-0z6YpaGjVO4DThF3LY8kSMg77q55vp_8JbEdjQ12O8E9INGsrKGaclYJ0Vsf77,holda.jpg,true,financial_and_insurance,construction_and_real_estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,4813398772547584,Molnix Oy,Molnix Rapid Personnel Manager for humanitarian HR,""Is your personnel roster still in a spreadsheet? Molnix Rapid Personnel Manager brings proper HR tools to roster management for humanitarian organizations. With it, you can alert the right people in under 60 seconds. By automating and offloading many parts of Human Resource Management, it saves you time and money. We have proven the benefits in operation with the Finnish Red Cross. It is cloud based, available immediately, and works on desktop and mobile. 100% owned by us, but open for angels."",2014-10-01T00:00:00.000Z,https://molnix.com,Espoo,Finland,5087715448061952,https://lh3.googleusercontent.com/o84HZiUOIpDLryRyIqDiOghi9DAPRES6p5ojHTw_SQDP7S01UZhZdevGDFU8Wpjyb_ml1Rq2gv9KfPMGj3HigGcFrpXzJeGoKY5DFA,molnix.png,true,social_entrepreneurship,hr,education,89590a2b-8d44-4d83-aaf9-3fad0b5ff06f,impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,4828836596285440,Seloy Live Oy,""AV-industry, digital signage, construction industry"",""Seloy Live is providing customized interactive glass surfaces that enable immersive augmented customer experiences."
"SENSE - Augmented Interactive Window gives exceptional experiences; Interaction is the key to brand engagement and customer engagement is everything. With Seloy Live SENSE you can make your brand really stand out. SENSE is a state-of-the-art combination of a transparent insulating glass unit and an interactive touch surface, available in any size up to 3 x 6 meters."",2016-04-01T00:00:00.000Z,http://seloylive.com,Espoo,Finland,5132209967071232,https://lh3.googleusercontent.com/_c6FN05PO6J57F8Fwd8rje2aeUFiA3k8fTNbVS_mtXXnZiniWvf1G2f1mUozugNI8ucYJSwoHDv0w6X84SYYeCsXhKrrIxz0tSo5,SeloyLIVE_customised_glass_surfaces.png,true,construction_and_real_estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,4843352612667392,Surgify Medical Oy,Medical devices,""In many fields of surgery and dentistry, bone has to be cut or removed without damaging the proximal soft structures. Surgify develops new solutions to protect these structures and prevent associated complications. Bleeding, infections and nerve injuries are some of the complications that can severely affect a patients quality of life. Surgify technology improves the safety, speed and precision of bone surgery to minimize these risks."",2017-05-01T00:00:00.000Z,http://surgifymedical.com,Espoo,Finland,5200794487881728,https://lh3.googleusercontent.com/Oa1R1QVUfQHZ3Xi0XOnLqMkvRM5JqdzXxoZ4zQkWZByeaLVi5F0KyHhUvP73JrQPpsYTaP6ZOoPvT0Fm5X9JVTw9Lfegtlunmq_R,Surgify_Official_3.png,true,health,medtech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,4874312280440832,Koru,Graphics OS platform for beautiful user experience,""* Our Vision is that touch experiences will spread everywhere."
!  Our mission is to empower brands to deliver unique user experience to their fans.
€ Featured on millions of smart watches available globally.
# We enable high-end user experience on low-cost HW. 
# We require 1000X less RAM than Wear OS for similar experience. 
€ Cashflow profitable 30+ world-class experts. 30% most experienced craftsmen have 40.000h of professional C-development skills.
",2013-04-01T00:00:00.000Z,http://www.korulab.com,Espoo,Finland,4554705476780032,https://lh3.googleusercontent.com/S0_Dd62mzmwjuqk_XrrWLqpnZ6DXdewtCsacYvarIz3kkC9uU8kZh-iAJI99fixSQE5maK-0oChpDKL33BIeY6KV_8eukFo9xC0P,koru_logo_master.png,true,Design,sports,consumer_electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
startup,4883413584576512,Infinited Fiber Company Oy,Textile,IFC's process technology can turn textile, cardboard and agricultural waste to new and better cotton and not only once but infinitely without compromising in quality and comfort. I"
"FC is running industrial pilot production in Espoo Finland since March 2018 and the material have been successfully proven by major brands and their present supply chain partners. IFC's revenue 2018 is € 1,4 million from fiber deliveries and prelicense product sales."",2016-10-01T00:00:00.000Z,http://infinitedfiber.com,Espoo,Finland,5205764704567296,https://lh3.googleusercontent.com/ZCtxKqitYfVBtAFthIIp_dcZ3byt3y8p6q_OEuURLjost5S4nidzWvmoAkIlvZfwIOOeOFOoOiyn4SgRnD65KTZjjoooaB5IT89i,infinited_fiber_logo_transparent_background_2400px.png,true,materials_and_coatings,clothing_and_fashion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,4892202564059136,Viimatech Digital Oy,Viimatech is the cost leader in pump monitoring.,""Unique solution to optimize pumps and enable 1 000 000 000 EUR energy and maintenance cost savings in Europe with 30% costs to traditional systems. Extensive, scalable and easy to use solution is based to mathematical methods and cost optimized electronics."
"Traction is proven in POC projects in water utilities and process industry. Team combines experience from global tech. business, university science and daily maintenance tasks."
A-round investment 2 MEUR in end 2019 for globalization.  
 
",2017-06-01T00:00:00.000Z,http://www.viimatech.com,Espoo,Finland,5708755706576896,https://lh3.googleusercontent.com/3IzJSC7hfs2-fXu6yL2kTW8wpGp2TGaIrDbe_XuAZSW8A2nA8x88wN4VLm1AXV820N-BJUiCTrh68z6iLEWrPPa3yiTBy5U1f_3a,LOGO2.png,true,oil_and_gas,metals_minerals_mining,water_and_wastewater,energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
startup,4904959355125760,Sensmet Oy,We let you see the quality of water in new light!,Water is set to become the new oil as water scarcity spreads. Understanding the water quality continuously is the key for optimizing the water usage in industry and to prevent pollution."
"This can be done with our TWA - Total Water Analyser™ technology, which lets customer truly understand the quality of the water – realtime. "
7 (years University R&D) + 4 (fulltime employees) + 1 (year as startup) = 200 000 (first year revenue)
"We are looking 300k€ investment for market segmentation and entry."",2017-07-01T00:00:00.000Z,http://www.sensmet.com,Oulu,Finland,6331427448684544,https://lh3.googleusercontent.com/UUtP3UIZmFNOULlK-Jahc5NX2y984XSCbrCxn8Fz6Z87Oypekn21B26NcyrSW0KlbkFkBlQ1LXdqcFH3y_NDJ2pCmtvQ50IAXJ7B,sensmet_logo.png,true,water_and_wastewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,4914153269493760,SkenarioLabs Oy,Proptech & fintech,""We tell property owners, investors and financial institutes where to invest."
"Our platform tells you where to put your money to manage both the value and the costs meaning future repairs and maintenance of your real-estate. Both residential and commercial. E.g. if you’re looking at 20000 units in your portfolio and you have a budget to invest in half… which units should you choose and why?"",2015-02-01T00:00:00.000Z,http://skenariolabs.com,Espoo,Finland,5169858777972736,https://lh3.googleusercontent.com/zpDkDDs6C9gtleSqrWnRJJvFi2eI8AAiKcxuQVFCdXsZqUPgkbvde8c5mOu1rfERhxazWMwPM19dsry5dTW6QxC-WFgKPgisv1Gk,Skenarios-Logo-ColorBlk_800px_16.9.jpg,true,financial_and_insurance,construction_and_real_estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,5032136356659200,Dailuge Inc.,Ohjaa knows what a Chinese traveller wants.,""For the first time, a Chinese traveller sitting in his couch at his Xi ´An home can discuss his travel plan `face to face ` with another Chinese standing by a window in his Reykjavik house. For the next 10 minutes, he might decide to talk with someone in Paris. Ohjaa is the first face-2-face trip planning service in the world."
"Ohjaa engages 200+ Hosts and the Network covers 17 cities across Europe. We will cover all major European cities with 1000+ Hosts by the end of 2019."",2017-03-01T00:00:00.000Z,https://www.ohjaa.com/,Helsinki,Finland,5757956570218496,https://lh3.googleusercontent.com/0LIQpkjhqsaL_mXNPpZiOjpzgy23uGzoIc3rv21fpbwFyjiD1AK70Wa6Ug4FvG7IlMOZQ8KpKMrmdVAqIEDBo42m1L8G2khYCsK9,Ohjaa_logo_coral.jpg,true,travel,hospitality_and_travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,5076560746905600,ANAXEOS,Pet wearables.?The Next multi-billion dollar market.,""Best Shared Life with Dogs."
 
"Reflects the mutual value data and technological advancements can offer for dogs and people living and working with them. "",2016-02-01T00:00:00.000Z,https://www.anaxeos.io,Helsinki,Global,5891456904462336,https://lh3.googleusercontent.com/rcAh4lxlSjQ5T0fmXRTfI0gYi3S73iPBe5ni8MwGoNDVuYXfMbVOa20UnCCdFq983pcwOrPOKxyUqEVRx2RoWVo-RPmqTUMbBxkYtg,anaxeos_graphite_TM.png,true,sports,retail,digital_health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,5079433207611392,BOARDIO,Connecting companies with advisors,Boardio connects companies with skilled individuals available for advisory work. Boardio has a global pool of over 2000 candidates with skills and availability for advisory and board positions. Companies needing external advisors can post an recruitment ad for free and let interested advisors apply. Companies can also browse advisor base and contact the ones that seem to have skills needed. Using Boardio is free for both companies and individuals. Premium packages are also available.,2016-01-01T00:00:00.000Z,http://www.boardio.com,ESPOO,Finland,6242037770747904,https://lh3.googleusercontent.com/W_1umpSDuHtanIG28ayhqKCtQE3KmBEORkgB5Rzf-ro0ynjT-_zIP75OF7wSOat1vIjBS3hurj7Vzsf2fXa84PS69_Twx8Dm5Di5zQ,Boardio logo.png,true,marketing_and_communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,5091506696224768,RF SensIT ,Continuous moisture monitoring,Sensors for monitoring moisture in building structures.,2012-02-01T00:00:00.000Z,http://www.rfsensit.com,Espoo,Finland,,,,true,air_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"startup,5093108584808448,BroadBit Batteries Oy,Energy Storage / Batteries,""BroadBit has developed a novel low-cost/high-performance/robust/eco-friendly/scalable sodium chloride battery technology with 50% more energy per unit cost and 25% more energy per unit mass as lith..."
